Stationnement 125;1;"Note de service
Stationnement
Parking
Réf : S77N-NS-02";JL;Note de service - Organisation du stationnement - Parking du 125;;4/9/2024 9:59am;Note de service;S77N-NS-02 - Organisation relative au parking du 125.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rec0GyjYNuXPlAMVn/fld6iYZCqeObDQCmt/attgLsXxuDXqbnewN)
Utilisation Véhicules de service hybride;2;Véhicule de service - hybride - voiture;JL;"Guide d'utilisation des véhicules de service hybride 
Réf : S77N-GU-1";;5/9/2024 12:10pm;Guide d'utilisation;S77N-GU-1 Guide d'utilisation des voitures hybrides.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/recb37yNObDiJwx13/fld6iYZCqeObDQCmt/attBGYytvbSpOSuPS)
Procédure - Véhicules de service;3;Véhicule de service - voiture;JL;"Procédure d'utilisation des véhicules de service
Réf : S77N-PROC-01";;5/9/2024 12:12pm;Procédure;S77N-PROC-01 Procédure d'utilisation des véhicules de service.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/reci0mIJlHw1d1vhn/fld6iYZCqeObDQCmt/attNNqSFIglSBIcXD)
Procédure - Carburant - Véhicules de service;4;Véhicule de service - voiture - carburant - essence;JL;"Procédure sur la conduite à tenir pour réaliser les pleins de carburant dans les véhicules de service.
Réf : S77N-PROC-02";;5/9/2024 2:51pm;Procédure;S77N-PROC-2 Plein de carburant dans les véhicules de service.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/recmzlQ4btUSes7I7/fld6iYZCqeObDQCmt/attWNnw3QxZmzyVLq)
Procédure Note de frais;5;"Note de frais - Remboursement
";Adrien;"Remboursement des notes de frais
";"Dans le cadre de la gestion des dépenses professionnelles, toute dépense engagée pour les besoins de l'association Santé 77 Nord peut faire l'objet d'un remboursement. Afin de simplifier cette démarche, voici les différentes étapes du processus : 
1. Modèle à utiliser
Un modèle Excel spécifique a été conçu pour faciliter la déclaration et le suivi des notes de frais. Ce modèle est accessible sur le serveur local COMMUN, à l'adresse suivante :
BASE DONNEES INTERNE - DAC\COMMUNICATION INTERNE DAC SANTE 77 NORD\DEMARCHES SALARIES\ Notes de frais
2. Instructions pour les salariés
•	Téléchargement du modèle : Les salariés doivent utiliser exclusivement le modèle disponible à l'emplacement indiqué pour soumettre leurs demandes.
•	Remplissage : Toutes les informations demandées doivent être complétées (date, nature de la dépense, montant, justificatifs associés, etc.).
•	Justificatifs : Les pièces justificatives des dépenses (tickets, factures, etc.) doivent être scannées/imprimées et jointes dans le dossier soumis.
3. Soumission de la demande
•	Une fois complété, le fichier Excel ainsi que les justificatifs doivent être imprimés et remis à la direction. 
4. Validation et remboursement
•	Les notes de frais seront vérifiées.
•	Après validation, le remboursement sera effectué dans un délai de quelques jours, par virement bancaire.
5. Points importants
•	Toute demande incomplète ou non conforme au modèle ne pourra être traitée.
•	En cas de questions ou de difficultés, les salariés peuvent contacter la direction.";18/11/2024 12:12pm;Note de service;
20241219 - Compte-rendu réunion Soins Palliatifs ;6;Réunion - Compte-rendu - Soins palliatifs - EMSPT;JL;;;23/12/2024 3:38pm;Réunion;20241219 CR Réunion SP.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/recITqQ9GZ7WNT6ET/fld6iYZCqeObDQCmt/attQ9fclHG138q7o3)
20250213 - Compte-rendu réunion Soins Palliatifs;7;Réunion - Compte-rendu - Soins palliatifs - EMSPT;JL;;;14/2/2025 10:00am;Réunion;20250213 CR Réunion SP.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rec0AqBr2eAnIF2AE/fld6iYZCqeObDQCmt/attHQNjG0PSdv2Mqn)
DACAMU;8;"DACAMU - SAMU - 
";Adrien;"Le DAC travaille avec le SAMU 77 pour la gestion des demandes complexes qui arrivent au niveau du 15. 
Les documents ci-joints aident les référents de parcours complexes postés sur le SAMU 77 à prendre en main le logiciel du SAMU et la gestion de DACTeam sous jacente.";;9/4/2025 3:41pm;Procédure;DACAMU - Guide création demande Dacteam.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rectO03FaPKd9FajO/fld6iYZCqeObDQCmt/attNxw8CnkeozDNkq), DACAMU - Orientation SAMU vers DAC.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rectO03FaPKd9FajO/fld6iYZCqeObDQCmt/attumDSp1BvsdcyWM), DACAMU - Procédure Logiciel BlueRégul.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rectO03FaPKd9FajO/fld6iYZCqeObDQCmt/att4K9iQ72NY0nYoD)
20250410- Compte-rendu de réunion Soins Palliatifs;9;Réunion - Compte-rendu - Soins palliatifs - EMSPT;JL;;;16/4/2025 3:41pm;Réunion;20250410 CR Réunion SP.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/reckdDY94EEp8uSr4/fld6iYZCqeObDQCmt/attkLJpV5s966wFWI)
Accès Extranet CPAM 77;10;;;;;16/4/2025 4:04pm;;
20250918 - Compte rendu réunion de coordination;;Réunion - Compte-rendu - Coordination;JL;;;22/9/2025 3:07pm;Réunion;20250918 - CR Réunion de coordination.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/recbXchQmzBMjfOsf/fld6iYZCqeObDQCmt/attmmOVjXf2q5vjZf)
20250925- Compte-rendu de réunion Soins Palliatifs;;Réunion - Compte-rendu - Soins palliatifs - EMSPT;JL;;;26/9/2025 10:14am;Réunion;20250925 CR Réunion SP.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rec9A35KtH6SGH54q/fld6iYZCqeObDQCmt/attkyK5dKEHUELe6Y), Flyer_appui tél SP_2025.pdf (https://airtable.com/appw21X5WptSgEidh/tbl1RYnxQg5paOCSB/rec9A35KtH6SGH54q/fld6iYZCqeObDQCmt/attedhlZj2oqdwKCT)
